Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34158843,"09:03, 25 March 2026",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
34103645,"10:04, 22 February 2026",Votebot,False,deletion,active,,-2,(reordering tips and warnings based on votes)
34097477,"19:56, 19 February 2026",MiscBot,False,deletion,active,,-125,(Removing Related Articles section)
34081897,"02:58, 19 February 2026",MiscBot,False,revert,active,,127,(Reverting the Related Articles section removal)
34066100,"19:49, 18 February 2026",MiscBot,False,deletion,active,,-127,(Removing Related Articles section)
33901135,"10:15, 14 December 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33862665,"10:13, 29 November 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33797600,"09:10, 29 October 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33649669,"08:49, 1 September 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33588821,"09:08, 1 August 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33535019,"22:19, 6 July 2025",Seymour Edits,False,addition,active,,386,(Expert TYSK)
33496910,"08:48, 19 June 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33409698,"08:47, 19 May 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33393666,"20:22, 12 May 2025",ICanGuessItLol,False,revert,active,,15252,(Reverted edits by BAN ME AND A BABY GETS RÁPED (Talk); changed back to last version by Votebot)
33393663,"20:22, 12 May 2025",BAN ME AND A BABY GETS RÁPED,False,major_deletion,reverted,ICanGuessItLol,-15252,(BAN ME AND A BABY GETS R/\PED)
33322766,"08:47, 16 April 2025",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
33275053,"00:58, 28 March 2025",Wikiphoto,False,addition,active,,26,(Updating Reader Video Section)
33212453,"15:59, 6 March 2025",Wikiphoto,False,addition,active,,48,(Updating Reader Video Section)
32746334,"08:52, 28 August 2024",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
