Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34112678,"10:02, 26 February 2026",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
34044623,"19:08, 12 February 2026",Seymour Edits,False,major_deletion,active,,-513,(removed bad refs for wikiHaus content team)
34011817,"10:13, 26 January 2026",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33973775,"10:02, 14 January 2026",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33901136,"10:15, 14 December 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33863935,"09:58, 30 November 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33800420,"09:09, 30 October 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33625465,"08:45, 20 August 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33562142,"08:46, 20 July 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33415165,"08:55, 21 May 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33322763,"08:46, 16 April 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33244247,"08:55, 16 March 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33231474,"21:56, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33142769,"22:26, 11 February 2025",Tiagoroth,False,addition,active,,5,"(Replacing brand name, replaced: Tylenol → acetaminophen)"
33049247,"09:46, 7 January 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32998635,"01:43, 14 December 2024",Alabaster,False,revert,active,,-48,(RCP reverted edits by 100.15.137.19 (talk) to  revision #32698314 by Votebot)
32998629,"01:28, 14 December 2024",100.15.137.19,False,addition,reverted,Alabaster,48,
32698314,"08:49, 5 August 2024",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
32601567,"17:16, 24 June 2024",MiscBot,False,adjustment,active,,0,(Convert Reader Videos to new template)
32530799,"11:40, 25 May 2024",99.68.47.129,False,deletion,active,,-68,
32530798,"11:40, 25 May 2024",99.68.47.129,False,addition,active,,1,
32530796,"11:39, 25 May 2024",99.68.47.129,False,addition,active,,67,
32487752,"17:54, 6 May 2024",Thomas_Ch,False,addition,active,,26,(Updating Reader Video Section)
32482179,"08:41, 4 May 2024",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
