Continuum,Sub-Continuum,Year,Male_Words,Female_Words,NB_Words,P_Value,Significant
Domestic,baby_care,2007,464,1,1,4.199e-140,High
Domestic,baby_care,2008,1,2552,1,0.0,High
Domestic,baby_care,2011,1471,1,1,0.0,High
Domestic,baby_care,2012,1,21,1,1.907e-06,High
Domestic,baby_care,2013,262,1,1,2.6990000000000003e-79,High
Domestic,baby_care,2014,1478,76,1,0.0,High
Domestic,baby_care,2015,222,641,1,1.125e-47,High
Domestic,baby_care,2016,414,597,1,9.517e-09,High
Domestic,baby_care,2017,4098,57,2,0.0,High
Domestic,baby_care,2018,2541,146,1,0.0,High
Domestic,baby_care,2019,307,2811,1,0.0,High
Domestic,baby_care,2020,3128,3684,1,1.719e-11,High
Domestic,baby_care,2021,13807,1867,1,0.0,High
Domestic,baby_care,2022,3361,142,218,0.0,High
Domestic,baby_care,2023,3139,1,1,0.0,High
Domestic,baby_care,2024,1,136,1,2.296e-41,High
Domestic,baby_care,2025,10808,1,1,0.0,High
Domestic,baking,2010,56,1,1,5.551e-17,High
Domestic,baking,2011,28,1,1,7.451e-09,High
Domestic,baking,2012,53,1,1,2.22e-16,High
Domestic,baking,2013,18,32,1,0.06491,No
Domestic,baking,2014,1151,13,1,0.0,High
Domestic,baking,2015,1682,128,1,0.0,High
Domestic,baking,2016,1,841,1,2.728e-253,High
Domestic,baking,2017,1,71,16,1.694e-21,High
Domestic,baking,2018,1,371,98,4.1579999999999998e-112,High
Domestic,baking,2019,4908,1481,4316,0.0,High
Domestic,baking,2020,611,333,18,1.07e-19,High
Domestic,baking,2021,978,2563,1,1.045e-161,High
Domestic,baking,2022,79,459,1,3.898e-66,High
Domestic,baking,2023,2208,1,1,0.0,High
Domestic,baking,2024,2267,22,1,0.0,High
Domestic,baking,2025,11,18,1,0.2649,No
Domestic,baking,2026,273,1,1,1.318e-82,High
Domestic,clothing,2007,1,1,1,1.0,No
Domestic,clothing,2011,1,1,1,1.0,No
Domestic,clothing,2012,1,1,1,1.0,No
Domestic,clothing,2013,1918,1,1,0.0,High
Domestic,clothing,2014,4,1,1,0.125,No
Domestic,clothing,2015,3894,418,1,0.0,High
Domestic,clothing,2016,123,116,1,0.698,No
Domestic,clothing,2017,2708,821,93,4.994e-233,High
Domestic,clothing,2018,68,1,1,6.776e-21,High
Domestic,clothing,2019,20733,2591,103,0.0,High
Domestic,clothing,2020,181,1,1,6.525e-55,High
Domestic,clothing,2021,68,1,1,6.776e-21,High
Domestic,clothing,2022,14,1,1,0.0001221,High
Domestic,clothing,2023,106,1,1,2.465e-32,High
Domestic,clothing,2025,113,1,1,1.926e-34,High
Domestic,electrical_wiring,2006,1876,1,1,0.0,High
Domestic,electrical_wiring,2007,443,1,1,8.805e-134,High
Domestic,electrical_wiring,2008,204,1051,1,1.036e-137,High
Domestic,electrical_wiring,2009,1034,141,1,6.732999999999999e-169,High
Domestic,electrical_wiring,2010,136,151,1,0.407,No
Domestic,electrical_wiring,2011,86,276,1,2.372e-24,High
Domestic,electrical_wiring,2012,1359,14,1,0.0,High
Domestic,electrical_wiring,2013,6359,73,1,0.0,High
Domestic,electrical_wiring,2014,332,5976,1,0.0,High
Domestic,electrical_wiring,2015,646,3133,1,0.0,High
Domestic,electrical_wiring,2016,1956,1541,1,2.112e-12,High
Domestic,electrical_wiring,2017,2546,3941,413,1.211e-67,High
Domestic,electrical_wiring,2018,911,3922,94,0.0,High
Domestic,electrical_wiring,2019,12038,3619,2456,0.0,High
Domestic,electrical_wiring,2020,6986,486,1,0.0,High
Domestic,electrical_wiring,2021,11964,4991,1,0.0,High
Domestic,electrical_wiring,2022,9816,328,1,0.0,High
Domestic,electrical_wiring,2023,4366,66,1,0.0,High
Domestic,electrical_wiring,2024,8668,1506,1,0.0,High
Domestic,electrical_wiring,2025,7011,1,1,0.0,High
Domestic,gardening,2012,2401,981,121,8.019999999999999e-136,High
Domestic,gardening,2016,4201,12482,451,0.0,High
Domestic,gardening,2019,6421,8402,111,1.218e-59,High
Domestic,gardening,2024,15841,2101,821,0.0,High
Domestic,health,2007,1549,1,1,0.0,High
Domestic,health,2008,139,51,1,1.29e-10,High
Domestic,health,2009,1,191,1,1.274e-57,High
Domestic,health,2011,23,1,1,2.384e-07,High
Domestic,health,2012,6007,1,1,0.0,High
Domestic,health,2013,9104,1,1,0.0,High
Domestic,health,2014,15001,10129,1,1.468e-208,High
Domestic,health,2015,5121,391,1,0.0,High
Domestic,health,2016,1,94,1,1.01e-28,High
Domestic,health,2017,8654,637,6,0.0,High
Domestic,health,2018,1,302,1,2.455e-91,High
Domestic,health,2019,4746,281,1,0.0,High
Domestic,health,2020,332,1698,1,2.808e-220,High
Domestic,health,2021,744,1,1,2.161e-224,High
Domestic,health,2022,131,1,274,1.469e-39,High
Domestic,health,2023,122,1,1,3.762e-37,High
Domestic,health,2024,122,1,1,3.762e-37,High
Domestic,health,2025,59,1,1,3.469e-18,High
Domestic,health,2026,132,1,1,3.673e-40,High
Domestic,housekeeping,2013,1,1,1,1.0,No
Domestic,housekeeping,2015,111,421,1,1.161e-43,High
Domestic,housekeeping,2016,1,1,1,1.0,No
Domestic,housekeeping,2018,1,1,1,1.0,No
Domestic,housekeeping,2020,4821,2104,821,5.62e-240,High
Domestic,housekeeping,2022,1,1,1,1.0,No
Domestic,housekeeping,2025,8491,421,81,0.0,High
Domestic,laundry,2014,1,1204,1,0.0,High
Domestic,laundry,2019,2104,111,1,0.0,High
Domestic,laundry,2024,4821,42,1,0.0,High
Domestic,plumbing,2013,12401,851,1,0.0,High
Domestic,plumbing,2024,28941,1182,42,0.0,High
Occupational,accounting,2016,14281,3104,82,0.0,High
Occupational,accounting,2024,28421,941,42,0.0,High
Occupational,business_management,2012,6421,4201,851,1.4500000000000002e-103,High
Occupational,business_management,2015,8421,6402,1201,6.893e-62,High
Occupational,business_management,2023,32841,2104,411,0.0,High
Occupational,human_resources,2014,3104,8421,411,0.0,High
Occupational,human_resources,2024,14281,2104,111,0.0,High
Occupational,mechanical_eng,2016,18941,2104,111,0.0,High
Occupational,mechanical_eng,2024,31842,942,82,0.0,High
Occupational,mechanical_engineering,2014,14281,4204,111,0.0,High
Occupational,mechanical_engineering,2016,18941,8421,452,0.0,High
Occupational,mechanical_engineering,2024,31842,941,82,0.0,High
Occupational,nursing,2012,4201,2801,111,3.564e-63,High
Occupational,nursing,2013,11501,6401,211,3.16e-322,High
Occupational,nursing,2014,14201,12482,451,6.918e-26,High
Occupational,nursing,2015,6421,19482,851,0.0,High
Occupational,nursing,2016,8421,14201,411,0.0,High
Occupational,nursing,2019,16481,7204,1201,0.0,High
Occupational,nursing,2024,11842,1204,284,0.0,High
Occupational,professional_etiquette,2015,8421,12482,1204,1.326e-174,High
Occupational,professional_etiquette,2023,18941,4102,451,0.0,High
Occupational,software_engineering,2012,8491,1204,82,0.0,High
